Account ID,Account Name,Producer,Branch Code,Carrier,Primary Line,Expiration Date,Renewal meeting 60d,Loss runs ordered,Coverage checklist,Certificate backlog clear,Exposure re-verified,Written proposal,Flood determination,Carrier appetite confirmed
ACT-10200,Halyard Bakery,M. Aranda,BR-014,Harborline,Umbrella,2026-09-05,No,Yes,Yes,Yes,No,Yes,,Yes
ACT-10201,Windrow Logistics,M. Aranda,BR-014,Ravenna Group,Commercial Auto,2026-11-27,Yes,No,Yes,Yes,Yes,Yes,Yes,No
ACT-10202,Quarry Logistics,D. Whitlock,BR-014,Meridian Mutual,Commercial Auto,2026-09-12,Yes,Yes,No,Yes,Yes,Yes,No,Yes
ACT-10203,Foxglove Plumbing,D. Whitlock,BR-014,Ashfield Casualty,Workers Comp,2026-12-01,,Yes,No,Yes,,Yes,Yes,No
ACT-10205,Larkspur Dental Group,T. Bergeron,BR-022,Cordell P&C,Professional Liability,2026-10-04,Yes,Yes,,No,Yes,No,Yes,No
ACT-10206,Larkspur Property Mgmt,S. Okonkwo,BR-022,Harborline,Umbrella,2026-09-25,Yes,No,No,Yes,No,Yes,Yes,Yes
ACT-10207,Thatcher Orchards,R. Vasquez,BR-031,Meridian Mutual,Inland Marine,2026-09-15,No,No,Yes,Yes,No,Yes,,
ACT-10208,Kestrel Landscaping,R. Vasquez,BR-031,Ravenna Group,Workers Comp,2026-11-02,Yes,No,Yes,Yes,No,Yes,No,No
ACT-10209,Windrow Auto Group,S. Okonkwo,BR-022,Ashfield Casualty,Umbrella,2026-09-19,No,No,Yes,Yes,Yes,,,No
ACT-10210,Northgate Storage,T. Bergeron,BR-022,Harborline,Commercial Auto,2026-09-26,No,Yes,Yes,No,Yes,Yes,,No
ACT-10211,Northgate Bakery,D. Whitlock,BR-014,Ashfield Casualty,Commercial Auto,2026-10-19,No,Yes,Yes,No,Yes,Yes,Yes,Yes
ACT-10212,Cobblestone Logistics,M. Aranda,BR-014,Ravenna Group,Commercial Property,2026-09-04,Yes,,Yes,No,Yes,Yes,Yes,No
ACT-10213,Blue Harbor Medical,T. Bergeron,BR-022,Statewide Indemnity,Workers Comp,2026-11-19,Yes,,Yes,Yes,Yes,No,,Yes
