Account Name,Account ID,Producer,Branch Code,Region Code,Primary Line,Carrier,Annual Premium,Expiration Date,Loss Ratio (3yr),Policies In Force,Client Since,Last Service Touch,Account Status,Open Service Items
Kestrel Storage,ACT-10165,M. Aranda,BR-014,RGN-NE,Umbrella,Ashfield Casualty,20416,2027-02-02,0.47,3,2015,2026-07-28,Active,2
Larkspur Medical,ACT-10166,D. Whitlock,BR-014,RGN-NE,Professional Liability,Ravenna Group,3798,2026-09-20,0.47,6,2016,2026-05-28,Active,0
Pinegrove Plumbing,ACT-10167,M. Aranda,BR-014,RGN-NE,General Liability,Ashfield Casualty,3779,2026-09-20,0.29,3,2000,2026-07-20,Active,1
Halyard Fabrication,ACT-10168,S. Okonkwo,BR-022,RGN-NE,Workers Comp,Cordell P&C,92000,2026-09-04,0.18,2,2016,2026-07-04,Active,1
Quarry Bakery,ACT-10169,S. Okonkwo,BR-022,RGN-NE,General Liability,Ravenna Group,30326,2026-09-06,0.56,6,2002,2026-05-11,Active,0
Ironwood Transport,ACT-10170,M. Aranda,BR-014,RGN-NE,Commercial Property,Ravenna Group,13113,2026-10-21,0.14,2,2013,2026-07-10,Active,0
Kestrel Plumbing,ACT-10171,R. Vasquez,BR-031,RGN-MW,Umbrella,Harborline,2573,2027-02-27,0.37,2,2015,2026-08-11,Active,0
Foxglove Medical,ACT-10172,T. Bergeron,BR-022,RGN-NE,Professional Liability,Cordell P&C,102406,2027-02-08,0.59,6,2013,2026-06-07,Active,0
Amberline Restaurant Group,ACT-10173,D. Whitlock,BR-014,RGN-NE,Commercial Auto,Ashfield Casualty,30791,2026-11-25,0.53,3,2011,2026-06-04,Active,0
Foxglove Restaurant Group,ACT-10174,T. Bergeron,BR-022,RGN-NE,Professional Liability,Ashfield Casualty,9274,2026-09-11,0.6,1,2020,2026-05-21,Active,0
Vantage Dental Group,ACT-10175,T. Bergeron,BR-022,RGN-NE,General Liability,Cordell P&C,28072,2026-10-07,0.56,1,2000,2026-09-20,Active,0
Larkspur Transport,ACT-10176,T. Bergeron,BR-022,RGN-NE,Workers Comp,Statewide Indemnity,4575,2026-10-05,0.18,6,2000,2026-05-18,Active,0
Sable Logistics,ACT-10177,S. Okonkwo,BR-022,RGN-NE,Inland Marine,Meridian Mutual,6774,2026-09-17,0.4,2,2021,2026-04-28,Active,2
Quarry Construction,ACT-10178,S. Okonkwo,BR-022,RGN-NE,Commercial Property,Cordell P&C,7852,2026-10-21,0.43,5,2010,2026-04-07,Active,0
Thatcher Property Mgmt,ACT-10179,S. Okonkwo,BR-022,RGN-NE,Commercial Auto,Ravenna Group,7159,2026-10-02,0.41,5,2015,2026-08-16,Active,3
Halyard Property Mgmt,ACT-10180,S. Okonkwo,BR-022,RGN-NE,General Liability,Meridian Mutual,2156,2026-12-19,0.33,4,2024,2026-05-12,Active,0
Cobblestone Bakery,ACT-10181,S. Okonkwo,BR-022,RGN-NE,Professional Liability,Ravenna Group,104813,2026-10-23,0.65,3,1999,2026-08-03,Active,0
Amberline Bakery,ACT-10182,D. Whitlock,BR-014,RGN-NE,Workers Comp,Harborline,6729,2026-09-26,0.1,1,2008,2026-04-15,Active,0
Blue Harbor Auto Group,ACT-10183,M. Aranda,BR-014,RGN-NE,Umbrella,Meridian Mutual,10566,2026-09-27,0.31,3,2017,2026-06-17,Non-Renew Pending,0
Basswood Auto Group,ACT-10184,M. Aranda,BR-014,RGN-NE,Commercial Property,Meridian Mutual,6687,2026-10-27,0.7,3,2007,2026-06-26,Active,2
Verity Electric,ACT-10185,D. Whitlock,BR-014,RGN-NE,Umbrella,Cordell P&C,11901,2026-10-15,0.46,5,2015,2026-06-12,Active,0
Basswood Printing,ACT-10186,S. Okonkwo,BR-022,RGN-NE,Commercial Property,Statewide Indemnity,23774,2026-11-01,0.27,1,2012,2026-08-17,Active,0
Halyard Storage,ACT-10187,S. Okonkwo,BR-022,RGN-NE,Umbrella,Cordell P&C,5669,2026-09-13,0.4,5,2016,2026-08-17,Active,1
Cobblestone Staffing,ACT-10188,R. Vasquez,BR-031,RGN-MW,Cyber,Harborline,13929,2027-02-06,0.09,6,2010,2026-09-25,Active,3
Windrow Dental Group,ACT-10189,D. Whitlock,BR-014,RGN-NE,Umbrella,Ravenna Group,13195,2026-09-19,0.96,6,2014,2026-04-06,Active,0
Pinegrove Restaurant Group,ACT-10190,R. Vasquez,BR-031,RGN-MW,Commercial Property,Harborline,17148,2026-09-21,0.32,1,2004,2026-09-27,Non-Renew Pending,0
Foxglove Storage,ACT-10191,D. Whitlock,BR-014,RGN-NE,Umbrella,Ravenna Group,13198,2027-01-19,0.27,5,2019,2026-09-11,Active,0
Foxglove Auto Group,ACT-10192,M. Aranda,BR-014,RGN-NE,Commercial Property,Ravenna Group,43507,2026-09-24,0.1,6,2012,2026-09-07,Active,0
Trellis Logistics,ACT-10193,D. Whitlock,BR-014,RGN-NE,General Liability,Harborline,27261,2026-11-13,0.38,1,2010,2026-05-27,Active,0
Millrace Manufacturing,ACT-10194,R. Vasquez,BR-031,RGN-MW,Commercial Property,Ashfield Casualty,7431,2026-09-03,0.24,4,2017,2026-07-26,Active,2
Sable Plumbing,ACT-10195,D. Whitlock,BR-014,RGN-NE,Inland Marine,Cordell P&C,21395,2026-09-27,1.02,5,2004,2026-04-25,Active,0
Basswood Landscaping,ACT-10196,D. Whitlock,BR-014,RGN-NE,Commercial Auto,Ravenna Group,20092,2026-09-13,0.72,5,2007,2026-05-11,Active,0
Verity Restaurant Group,ACT-10197,T. Bergeron,BR-022,RGN-NE,General Liability,Ravenna Group,21419,2026-09-24,0.13,4,2017,2026-07-05,Active,0
Blue Harbor Manufacturing,ACT-10198,T. Bergeron,BR-022,RGN-NE,Umbrella,Statewide Indemnity,7246,2026-10-14,0.15,1,2017,2026-08-26,Active,0
Sable Fabrication,ACT-10199,D. Whitlock,BR-014,RGN-NE,Workers Comp,Cordell P&C,13329,2026-11-01,0.12,5,2014,2026-06-28,Active,2
Halyard Bakery,ACT-10200,M. Aranda,BR-014,RGN-NE,Umbrella,Harborline,10017,2026-09-05,0.42,5,2011,2026-04-15,Active,0
Windrow Logistics,ACT-10201,M. Aranda,BR-014,RGN-NE,Commercial Auto,Ravenna Group,21674,2026-11-27,0.26,4,1999,2026-06-28,Active,0
Quarry Logistics,ACT-10202,D. Whitlock,BR-014,RGN-NE,Commercial Auto,Meridian Mutual,34827,2026-09-12,0.13,3,2015,2026-06-02,Active,0
Foxglove Plumbing,ACT-10203,D. Whitlock,BR-014,RGN-NE,Workers Comp,Ashfield Casualty,7981,2026-12-01,0.53,4,2005,2026-05-04,Active,0
Windrow Bakery,ACT-10204,S. Okonkwo,BR-022,RGN-NE,Workers Comp,Meridian Mutual,45058,2026-09-21,0.75,6,2012,2026-08-07,Prospect,0
Larkspur Dental Group,ACT-10205,T. Bergeron,BR-022,RGN-NE,Professional Liability,Cordell P&C,45426,2026-10-04,0.22,5,1998,2026-09-28,Active,2
Larkspur Property Mgmt,ACT-10206,S. Okonkwo,BR-022,RGN-NE,Umbrella,Harborline,7842,2026-09-25,0.54,3,2007,2026-08-18,Active,0
Thatcher Orchards,ACT-10207,R. Vasquez,BR-031,RGN-MW,Inland Marine,Meridian Mutual,4451,2026-09-15,0.62,1,2016,2026-08-14,Active,0
Kestrel Landscaping,ACT-10208,R. Vasquez,BR-031,RGN-MW,Workers Comp,Ravenna Group,20951,2026-11-02,0.12,1,2006,2026-05-02,Active,0
Windrow Auto Group,ACT-10209,S. Okonkwo,BR-022,RGN-NE,Umbrella,Ashfield Casualty,27991,2026-09-19,0.41,5,2015,2026-06-09,Active,0
Northgate Storage,ACT-10210,T. Bergeron,BR-022,RGN-NE,Commercial Auto,Harborline,4966,2026-09-26,0.72,1,2001,2026-05-25,Active,2
Northgate Bakery,ACT-10211,D. Whitlock,BR-014,RGN-NE,Commercial Auto,Ashfield Casualty,17626,2026-10-19,0.29,1,2005,2026-06-04,Active,1
Cobblestone Logistics,ACT-10212,M. Aranda,BR-014,RGN-NE,Commercial Property,Ravenna Group,17819,2026-09-04,0.66,4,2014,2026-07-16,Active,1
Blue Harbor Medical,ACT-10213,T. Bergeron,BR-022,RGN-NE,Workers Comp,Statewide Indemnity,19659,2026-11-19,0.43,5,2012,2026-08-23,Active,0
